2023-03-07T08:38:08.046Z [AUDIT] Token created by 'jffe@000': tokenId='774ee2a1-7f16-4a7a-946f-2f02d2211a5a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178888046, refreshable=false
2023-03-07T08:38:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6f70a5e7-042b-4492-b490-da2c04cd451b', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178434475, refreshable=false
2023-03-07T08:38:34.492Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='f9f18a0d-60f0-4fd4-8385-64324537e956', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178434492, refreshable=false
2023-03-07T08:38:53.356Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='f15d6355-5d79-4354-b536-a2ae62628c1d', tokenId='d66fa3c7-d9ed-4180-9a58-ddf3e0013989', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678180133354, refreshable=true
2023-03-07T08:39:34.477Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='24ca2450-ae00-4d44-bf38-594e00e854b9', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178494476, refreshable=false
2023-03-07T08:39:34.491Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='5f3f52c9-49dd-435a-af24-9da68c84c550', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178494491, refreshable=false
2023-03-07T08:40:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='71c67b12-f606-48c0-9d41-089bcfe7b7d2', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178554475, refreshable=false
2023-03-07T08:40:34.488Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6dab3b41-f5f3-41bc-aed0-afa5e80e8170', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178554488, refreshable=false
2023-03-07T08:41:34.483Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='a0b4eb26-c86d-4478-a3a7-5c0eb704bafa', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178614483, refreshable=false
2023-03-07T08:41:34.498Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='22a902b1-9de2-42ba-ab7c-fecc53367f34', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178614497, refreshable=false
